"ts","uid","id_orig_h","id_orig_p","id_resp_h","id_resp_p","proto","trans_id","rtt","query","qclass","qclass_name","qtype","qtype_name","rcode","rcode_name","AA","TC","RD","RA","Z","answers","TTLs","rejected"
"1590507207.777614","CORJpf14D5BYIBgRab","192.168.0.108","58519","192.168.0.1","53","udp","47396","0.834883","vg06.met.vgwort.de","1","C_INTERNET","1","A","0","NOERROR","F","F","T","T","0","vg06.vgwort-de.2cnt.net,slb-vgwort-de-pool02.vgwort-de.2cnt.net,161.156.66.178","300.000000,600.000000,600.000000"
"1590507207.777807","CYqL6S2jcSvUwHXVii","192.168.0.108","40156","192.168.0.1","53","udp","32078","0.760288","vg06.met.vgwort.de","1","C_INTERNET","28","AAAA","0","NOERROR","F","F","T","T","0","vg06.vgwort-de.2cnt.net,slb-vgwort-de-pool02.vgwort-de.2cnt.net","300.000000,600.000000"
"1590507208.538365","Cw65CyY9sgURujf1j","192.168.0.108","41698","192.168.0.1","53","udp","16740","-","slb-vgwort-de-pool02.vgwort-de.2cnt.net","1","C_INTERNET","28","AAAA","0","NOERROR","F","F","T","F","0","-","-"
"1590507209.221541","CEjUmA4ovvO4fRh7Zk","192.168.0.108","49533","192.168.0.1","53","udp","12780","0.350283","www.diptera.info","1","C_INTERNET","1","A","0","NOERROR","F","F","T","T","0","diptera.info,87.76.30.30","300.000000,300.000000"
"1590507209.221696","Cm3xyb4XNdPhUtE6Jj","192.168.0.108","38861","192.168.0.1","53","udp","16682","0.145845","www.diptera.info","1","C_INTERNET","28","AAAA","0","NOERROR","F","F","T","T","0","diptera.info","300.000000"
"1590507209.222178","CpX4Ow4Pttf6eK9ZNc","192.168.0.108","51150","192.168.0.1","53","udp","32235","0.430628","www.diptera.org","1","C_INTERNET","1","A","0","NOERROR","F","F","T","T","0","76.81.71.189","7200.000000"
"1590507209.222333","CezAXJ37EI3YXnHxb8","192.168.0.108","53278","192.168.0.1","53","udp","8427","-","www.diptera.org","1","C_INTERNET","28","AAAA","0","NOERROR","F","F","T","F","0","-","-"
"1590507209.367750","Cr7b0Y31I2xiYlXr46","192.168.0.108","49325","192.168.0.1","53","udp","4662","-","diptera.info","1","C_INTERNET","28","AAAA","0","NOERROR","F","F","T","F","0","-","-"
"1590507242.529320","Czdyve1mq4EebI8OHf","192.168.0.108","38745","192.168.0.1","53","udp","16028","0.003970","www-google-analytics.l.google.com","1","C_INTERNET","1","A","0","NOERROR","F","F","T","T","0","172.217.160.110","294.000000"
"1590507252.838605","CPWRKWXz6ZYCNTIob","192.168.0.108","41963","192.168.0.1","53","udp","8464","0.410581","simon.rycroft.name","1","C_INTERNET","1","A","0","NOERROR","F","F","T","T","0","rycroft.name,192.241.88.186,192.241.88.192,192.241.88.193,192.241.88.226","60.000000,60.000000,60.000000,60.000000,60.000000"
"1590507252.838698","CrMMzt2R8I6ozYGohb","192.168.0.108","60030","192.168.0.1","53","udp","64411","0.490856","simon.rycroft.name","1","C_INTERNET","28","AAAA","0","NOERROR","F","F","T","T","0","rycroft.name","60.000000"
"1590507253.329744","Cl6ljq0zK3rtQDXKj","192.168.0.108","33847","192.168.0.1","53","udp","41533","-","rycroft.name","1","C_INTERNET","28","AAAA","0","NOERROR","F","F","T","F","0","-","-"
