srcip,sport,dstip,dsport,proto,state,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,service,Sload,Dload,Spkts,Dpkts,swin,dwin,stcpb,dtcpb,smeansz,dmeansz,trans_depth,res_bdy_len,Sjit,Djit,Stime,Ltime,Sintpkt,Dintpkt,tcprtt,synack,ackdat,is_sm_ips_ports,ct_state_ttl,ct_flw_http_mthd,is_ftp_login,ct_ftp_cmd,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,attack_cat,Label
0,59.166.0.4,56329,149.171.126.2,80,tcp,FIN,1.028749,1684,10168,31,29,3,5,http,12162.344729999999,74684.88281,14,18,255,255,2693130613,2694221421,120,565,1,3924,8766.59459,7677.742679999999,1421927813,1421927814,79.095464,60.480176,0.000714,0.000557,0.000157,0,0,1,0,0,2,1,4,3,1,1,1,,0
1,59.166.0.4,10346,149.171.126.3,41112,tcp,FIN,0.10459700000000001,5174,83812,31,29,7,39,-,391368.7813,6340602.5,90,92,255,255,3237321656,3237649216,57,911,0,0,69.153375,67.336125,1421927814,1421927814,1.1717870000000001,1.142527,0.000752,0.000616,0.000136,0,0,0,0,0,8,6,4,3,1,1,1,,0
2,59.166.0.9,40939,149.171.126.3,41123,tcp,FIN,0.109929,2438,19266,31,29,7,13,-,172766.0469,1367064.125,38,40,255,255,1147743715,3366324492,64,482,0,0,0.0,176.37155,1421927814,1421927814,2.962351,2.789359,0.001332,0.001141,0.00019099999999999998,0,0,0,0,0,7,6,4,4,1,1,2,,0
3,59.166.0.5,16923,149.171.126.2,15120,tcp,FIN,0.104674,2974,30506,31,29,7,18,-,222634.0938,2284884.5,48,50,255,255,1327740086,1328050833,62,610,0,0,119.957102,115.891324,1421927814,1421927814,2.22,2.124775,0.000674,0.00055,0.000124,0,0,0,0,0,5,9,4,4,1,1,2,,0
4,59.166.0.9,62167,149.171.126.3,5190,tcp,FIN,0.0044399999999999995,1470,1728,31,29,5,4,-,2529729.75,2891892.0,22,14,255,255,1567740298,3713418197,67,123,0,0,12.976802000000001,0.38132699999999997,1421927814,1421927814,0.211429,0.29,0.000709,0.000534,0.000175,0,0,0,0,0,7,6,4,4,1,1,2,,0
5,59.166.0.6,15323,149.171.126.9,40935,tcp,FIN,0.151892,4118,59460,31,29,7,28,-,213836.1406,3086982.75,70,70,255,255,3353130442,1265093117,59,849,0,0,0.0,3.113085,1421927814,1421927814,2.195464,2.193203,0.000699,0.000557,0.00014199999999999998,0,0,0,0,0,7,9,3,6,1,1,1,,0
6,59.166.0.9,63696,149.171.126.9,53,udp,CON,0.001066,146,178,31,29,0,0,dns,547842.4375,667917.4375,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1421927814,1421927814,0.003,0.011000000000000001,0.0,0.0,0.0,0,0,0,0,0,3,2,3,4,1,1,1,,0
7,59.166.0.5,61055,149.171.126.2,59055,tcp,FIN,0.09657,4014,59460,31,29,7,28,-,327637.9688,4855421.0,68,70,255,255,3657325554,3668126533,59,849,0,0,0.0,80.09496,1421927814,1421927814,1.436328,1.367217,0.002432,0.002229,0.00020299999999999997,0,0,0,0,0,5,9,4,4,1,1,2,,0
8,59.166.0.5,64511,149.171.126.5,16438,tcp,FIN,0.11916600000000001,4014,59460,31,29,7,28,-,265511.9688,3934746.5,68,70,255,255,3473129990,3536264610,59,849,0,0,95.357197,94.54440100000001,1421927814,1421927814,1.773791,1.720232,0.000572,0.00046699999999999997,0.000105,0,0,0,0,0,5,7,2,4,1,1,1,,0
9,59.166.0.1,61113,149.171.126.1,5190,tcp,FIN,0.009343,1470,1832,31,29,5,4,-,1202183.375,1471047.875,22,16,255,255,3597323258,3597653526,67,115,0,0,35.558793,1.1641920000000001,1421927814,1421927814,0.444905,0.571733,0.0007570000000000001,0.0006190000000000001,0.000138,0,0,0,0,0,3,2,2,3,1,1,2,,0
10,59.166.0.9,11829,149.171.126.8,41422,tcp,FIN,0.113923,5174,83812,31,29,7,39,-,359330.4375,5821546.0,90,92,255,255,1147740663,3293429915,57,911,0,0,75.279252,74.802471,1421927814,1421927814,1.276382,1.245857,0.000901,0.000539,0.000362,0,0,0,0,0,7,2,2,4,1,1,1,,0
11,59.166.0.3,35023,149.171.126.5,80,tcp,FIN,12.899583,18578,1087890,31,29,2,370,http,11488.74316,673778.0625,348,746,255,255,2117676760,2147789215,53,1458,1,524288,2501.310224,1592.464849,1421927801,1421927814,37.173652000000004,17.314252,0.000642,0.000463,0.00017900000000000001,0,0,1,0,0,2,1,2,1,1,1,1,,0
12,59.166.0.8,29537,149.171.126.9,6881,tcp,FIN,2.94404,12242,485110,31,29,19,174,-,33110.96094,1314819.125,212,388,255,255,1555230259,1560124619,58,1250,0,0,4082.643238,3040.406398,1421927811,1421927814,13.951118,7.606044,0.0006230000000000001,0.0004969999999999999,0.000126,0,0,0,0,0,15,9,3,1,1,1,1,,0
13,59.166.0.0,42895,149.171.126.6,25,tcp,FIN,0.466768,37372,3380,31,29,18,8,smtp,628217.875,56559.14844,52,42,255,255,907744611,908787366,719,80,0,0,769.9442650000001,25.827754000000002,1421927813,1421927814,9.144784,11.371585000000001,0.000686,0.000529,0.000157,0,0,0,0,0,1,2,3,1,1,1,1,,0
14,59.166.0.1,63982,149.171.126.1,25,tcp,FIN,0.391895,37268,3380,31,29,18,8,smtp,746159.0625,67364.98438,52,42,255,255,3417325491,3418345341,717,80,0,0,701.409362,23.441072,1421927814,1421927814,7.677136999999999,9.546342,0.000616,0.000491,0.000125,0,0,0,0,0,1,1,2,3,1,1,2,,0
